                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.73512,                0.56888,                0.98886,                 0.8442,                0.83697,                0.92082,                0.76181,                0.67811,                0.49757,                0.96495,               0.001307,               0.001307,               0.001307
                     37,                0.72298,                0.56007,                 0.9848,                0.86079,                0.83542,                0.92363,                 0.7664,                0.66986,                0.48927,                0.94836,              0.0012872,              0.0012872,              0.0012872
                     38,                0.72865,                0.56718,                0.98856,                0.84763,                0.84866,                0.92392,                0.76842,                0.66877,                0.49931,                0.95212,              0.0012674,              0.0012674,              0.0012674
                     39,                0.71848,                0.56462,                0.98304,                0.85566,                 0.8581,                 0.9288,                0.76923,                0.67805,                0.48747,                0.96205,              0.0012476,              0.0012476,              0.0012476
                     40,                0.71834,                0.55688,                0.98412,                0.83316,                0.85363,                0.91958,                 0.7601,                 0.6685,                0.49451,                0.95489,              0.0012278,              0.0012278,              0.0012278
                     41,                0.72154,                0.55046,                  0.984,                0.84636,                0.86755,                0.92652,                0.76958,                0.67628,                0.48428,                0.95611,               0.001208,               0.001208,               0.001208
                     42,                0.72628,                0.55727,                0.98936,                0.84063,                0.86566,                0.92695,                 0.7732,                0.66755,                0.47576,                0.95509,              0.0011882,              0.0011882,              0.0011882
                     43,                0.72221,                0.56343,                0.98971,                0.85375,                0.85277,                0.92705,                0.77074,                0.67082,                0.49309,                0.95618,              0.0011684,              0.0011684,              0.0011684
                     44,                0.72038,                0.54982,                0.98251,                0.85011,                0.84848,                 0.9238,                0.76848,                0.67052,                0.48514,                0.95022,              0.0011486,              0.0011486,              0.0011486
                     45,                0.71584,                0.54909,                0.98521,                0.85086,                0.85088,                0.92519,                0.76803,                0.66916,                0.48156,                0.94919,              0.0011288,              0.0011288,              0.0011288
                     46,                0.71227,                0.54158,                0.98288,                0.83511,                0.86257,                0.92554,                0.77175,                0.65873,                0.48011,                0.95543,               0.001109,               0.001109,               0.001109
                     47,                0.71038,                0.54746,                0.98333,                0.84639,                0.84607,                0.92538,                0.77131,                0.66337,                0.47917,                0.94927,              0.0010892,              0.0010892,              0.0010892
