                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.00321,                      1,                      1,                0.31352,             0.00023334,             0.00023334,             0.00023334
                     70,                0.00311,                      1,                      1,                0.31347,             0.00022627,             0.00022627,             0.00022627
                     71,                0.00264,                0.99917,                      1,                0.31382,              0.0002192,              0.0002192,              0.0002192
                     72,                0.00219,                0.99917,                      1,                0.31385,             0.00021213,             0.00021213,             0.00021213
                     73,                0.00355,                      1,                      1,                0.31324,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00354,                      1,                      1,                0.31324,             0.00019799,             0.00019799,             0.00019799
                     75,                0.00216,                      1,                      1,                0.31324,             0.00019092,             0.00019092,             0.00019092
                     76,                0.00323,                      1,                      1,                0.31329,             0.00018385,             0.00018385,             0.00018385
                     77,                0.00085,                      1,                      1,                 0.3133,             0.00017679,             0.00017679,             0.00017679
                     78,                0.00164,                      1,                      1,                0.31326,             0.00016972,             0.00016972,             0.00016972
                     79,                0.00099,                      1,                      1,                0.31329,             0.00016265,             0.00016265,             0.00016265
                     80,                0.00417,                      1,                      1,                0.31346,             0.00015558,             0.00015558,             0.00015558
                     81,                0.00118,                      1,                      1,                0.31337,             0.00014851,             0.00014851,             0.00014851
                     82,                0.00175,                      1,                      1,                0.31325,             0.00014144,             0.00014144,             0.00014144
                     83,                0.00188,                      1,                      1,                0.31326,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00398,                      1,                      1,                0.31335,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00085,                      1,                      1,                0.31331,             0.00012024,             0.00012024,             0.00012024
                     86,                0.00112,                      1,                      1,                0.31353,             0.00011317,             0.00011317,             0.00011317
                     87,                0.00599,                      1,                      1,                0.31334,              0.0001061,              0.0001061,              0.0001061
                     88,                0.00073,                      1,                      1,                0.31326,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.00088,                      1,                      1,                0.31326,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00051,                      1,                      1,                0.31324,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.00182,                      1,                      1,                0.31323,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.00103,                      1,                      1,                0.31323,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.00138,                      1,                      1,                0.31324,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.00131,                      1,                      1,                0.31324,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.00151,                      1,                      1,                0.31324,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00204,                      1,                      1,                0.31324,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.00147,                      1,                      1,                0.31324,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00083,                      1,                      1,                0.31324,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00071,                      1,                      1,                0.31324,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.00081,                      1,                      1,                0.31323,             1.4209e-05,             1.4209e-05,             1.4209e-05
